SQLDATE,Actor1Name,Actor2Name,EventCode,EventBaseCode,EventRootCode,AvgTone,NumArticles,ActionGeo_FullName,text_input
2025-01-25,BENINESE,FRANCE,140,140,14,-3.94213381555153,1,"Kandi, Alibori, Benin","BENINESE 140 140 14 FRANCE Kandi, Alibori, Benin"
2025-01-26,BENINESE,FRANCE,140,140,14,-4.00984875131903,1,"Kandi, Alibori, Benin","BENINESE 140 140 14 FRANCE Kandi, Alibori, Benin"
2025-01-26,BENINESE,FRENCH,140,140,14,-4.00984875131903,5,"Kandi, Alibori, Benin","BENINESE 140 140 14 FRENCH Kandi, Alibori, Benin"
2025-01-25,BENINESE,FRENCH,140,140,14,-3.94213381555153,5,"Kandi, Alibori, Benin","BENINESE 140 140 14 FRENCH Kandi, Alibori, Benin"
2025-11-15,BENIN,,1712,171,17,-1.82926829268293,1,Benin,BENIN 1712 171 17 Benin
2025-11-15,BENIN,,1712,171,17,-1.82926829268293,4,Benin,BENIN 1712 171 17 Benin
2026-02-04,BENIN,SCHOOL,181,181,18,-4.33673469387755,2,Benin,BENIN 181 181 18 SCHOOL Benin
2026-02-04,BENIN,GOVERNMENT,73,73,7,-4.33673469387755,4,Benin,BENIN 73 73 7 GOVERNMENT Benin
2026-02-07,DAHOMEY,KING,1124,112,11,3.24483775811209,8,Benin,DAHOMEY 1124 112 11 KING Benin
2026-02-08,BENIN,,26,26,2,5.89887640449438,3,Benin,BENIN 26 26 2 Benin
2025-09-10,BENIN,,55,55,5,-2.52225519287834,4,Benin,BENIN 55 55 5 Benin
2026-01-16,BENIN,THE OPPOSITION,82,82,8,3.7593984962406,4,Benin,BENIN 82 82 8 THE OPPOSITION Benin
2025-07-20,BENIN,,114,114,11,-7.24233983286909,2,Benin,BENIN 114 114 11 Benin
2025-08-13,BENIN,,73,73,7,4.09090909090909,2,Benin,BENIN 73 73 7 Benin
2025-08-13,BENIN,,15,15,1,-4.75746268656716,10,Benin,BENIN 15 15 1 Benin
2025-11-21,BENIN,,15,15,1,-6.4,4,Benin,BENIN 15 15 1 Benin
2026-02-20,BENIN,,191,191,19,-7.17299578059072,10,Benin,BENIN 191 191 19 Benin
2026-02-20,BENIN,,1712,171,17,-7.02479338842975,5,Benin,BENIN 1712 171 17 Benin
